Date,Open,High,Low,Close,Volume
2019-03-15,530.23,541.73,519.08,531.53,52401
2019-03-18,533.03,568.76,531.23,564.32,81319
2019-03-19,557.23,562.15,546.53,546.84,40635
2019-03-20,544.23,556.53,539.23,547.03,31118
2019-03-21,542.23,547.03,535.73,539.98,32573
2019-03-22,542.45,554.21,539.23,548.23,30518
2019-03-25,540.23,542.23,527.53,529.83,37270
2019-03-26,534.23,540.17,518.33,527.23,37596
2019-03-27,535.23,548.11,529.23,542.73,42807
2019-03-28,547.66,568.71,539.91,561.03,57567
2019-03-29,589.23,620.91,584.4,608.22,90934
2019-04-01,614.23,623.18,605.23,613.23,60935
2019-04-02,614.22,614.22,590.29,604.23,53227
2019-04-03,594.35,605.97,588.44,598.73,43057
2019-04-04,594.23,620.03,590.43,619.23,55772
2019-04-08,654.23,662.23,644.35,654.43,66252
2019-04-09,657.23,662.43,646.74,659.23,47990
2019-04-10,657.23,706.13,654.23,702.22,67814
2019-04-11,702.23,704.23,659.78,679.43,61103
2019-04-12,663.23,674.22,654.24,668.23,48612
2019-04-15,685.23,693.23,661.23,661.23,45523
2019-04-16,659.13,694.13,655.45,694.13,46423
2019-04-17,692.23,709.74,679.23,706.23,40761
2019-04-18,699.64,708.91,690.45,699.73,19599
2019-04-19,698.19,715.18,685.54,706.79,32380
2019-04-22,713.73,733.12,694.84,703.43,40628
2019-04-23,705.23,735.45,703.43,729.18,48852
2019-04-24,734.11,744.23,705.45,724.23,45227
2019-04-25,723.02,728.22,705.45,706.6,39801
2019-04-26,700.53,714.11,699.23,699.23,43278
2019-04-29,699.23,743.23,689.23,726.2,52572
2019-04-30,722.23,739.19,717.34,728.23,35943
2019-05-06,679.73,689.23,647.23,660.23,135100
2019-05-07,647.51,668.17,624.45,644.23,100837
2019-05-08,614.23,656.03,614.23,638.63,81883
2019-05-09,629.23,634.1,596.73,613.04,91545
2019-05-10,629.89,665.01,622.42,661.35,79907
2019-05-13,653.09,665.21,638.23,646.23,46637
2019-05-14,639.23,660.23,627.23,640.8,59983
2019-05-15,644.47,687.23,644.47,681.23,63124
2019-05-16,673.23,686.23,659.23,684.14,44540
2019-05-17,681.25,686.53,654.33,661.02,49842
2019-05-20,654.23,654.23,625.23,639.19,44408
2019-05-21,639.23,664.23,626.25,649.23,42386
2019-05-22,649.21,658.23,634.23,642.23,32042
2019-05-23,635.23,638.21,610.45,615.23,58059
2019-05-24,619.23,639.23,618.67,632.73,44034
2019-05-27,633.33,637.22,614.28,633.23,39162
2019-05-28,632.22,661.72,629.25,642.23,74773
2019-05-29,642.24,679.18,642.24,666.14,65647
2019-05-30,664.23,674.22,645.45,659.53,40247
2019-05-31,654.76,661.22,644.23,644.23,35794
2019-06-03,646.23,655.58,640.51,646.23,34479
2019-06-04,649.23,649.66,625.23,629.53,39689
2019-06-05,638.23,640.49,624.23,625.83,34067
2019-06-06,629.85,630.0,612.23,616.36,34787
2019-06-10,612.21,633.18,594.23,625.31,55502
2019-06-11,630.23,669.84,629.23,665.12,80106
2019-06-12,660.45,665.22,648.23,660.93,37747
2019-06-13,664.23,666.53,651.23,664.23,32917
2019-06-14,665.23,686.53,664.25,667.23,42455
2019-06-17,661.23,681.17,660.25,665.83,32769
2019-06-18,671.23,674.23,656.83,671.23,29441
2019-06-19,694.23,700.93,686.24,686.24,53726
2019-06-20,686.73,729.73,686.43,729.23,67272
2019-06-21,724.2,738.72,718.73,730.53,45927
2019-06-24,732.53,753.92,729.23,741.33,45779
2019-06-25,746.23,753.23,721.23,737.21,51296
2019-06-26,739.23,739.23,725.45,734.09,29588
2019-06-27,739.23,755.23,735.35,750.58,47978
2019-06-28,754.76,757.65,740.1,752.77,31088
2019-07-01,773.29,804.37,768.99,800.63,52337
2019-07-02,793.77,798.27,784.77,793.77,39061
